start_state,end_state,strength,log_strength,macro_count,mean_support_w,mean_length_w,usage_rows
5,4,0.07418397626112759,0.07156128147340933,9,3.32,4.080000000000001,9
5,7,0.07418397626112759,0.07156128147340933,9,3.16,4.6000000000000005,9
7,5,0.07121661721068248,0.06879502798051919,9,3.0833333333333335,4.0,9
4,7,0.06824925816023739,0.06602110109779395,8,3.2608695652173916,4.2608695652173925,8
5,5,0.06231454005934717,0.060450056048338564,8,3.0952380952380953,4.095238095238096,8
4,5,0.05934718100890207,0.05765285142727734,7,3.3000000000000003,3.6000000000000005,7
4,4,0.05637982195845696,0.054847800499668725,8,2.4736842105263155,4.421052631578948,8
7,7,0.05341246290801187,0.05203485912305408,7,2.7777777777777777,4.666666666666667,7
7,4,0.05341246290801187,0.05203485912305408,7,2.6666666666666665,4.166666666666667,7
4,3,0.02373887240356083,0.023461486678998035,2,4.999999999999999,2.5,2
1,5,0.02373887240356083,0.023461486678998035,3,3.0,2.75,3
3,7,0.02077151335311573,0.02055872702103663,2,4.142857142857142,2.571428571428571,2
2,5,0.017804154302670624,0.017647516813578193,2,3.3333333333333335,2.6666666666666665,2
5,8,0.017804154302670624,0.017647516813578193,2,3.3333333333333335,3.666666666666667,2
8,4,0.017804154302670624,0.017647516813578193,2,3.3333333333333335,3.666666666666667,2
7,6,0.017804154302670624,0.017647516813578193,2,3.3333333333333335,3.666666666666667,2
1,7,0.017804154302670624,0.017647516813578193,3,2.0,4.333333333333333,3
7,1,0.01483679525222552,0.01472780671024343,1,5.0,2.0,1
6,7,0.01483679525222552,0.01472780671024343,1,5.0,2.0,1
5,9,0.01483679525222552,0.01472780671024343,2,2.6,2.8000000000000003,2
7,2,0.01483679525222552,0.01472780671024343,2,2.6,2.4,2
4,8,0.01483679525222552,0.01472780671024343,2,2.6,3.8000000000000003,2
8,5,0.01483679525222552,0.01472780671024343,2,2.6,3.8000000000000003,2
4,6,0.011869436201780416,0.011799546931155066,1,4.0,2.0,1
6,4,0.011869436201780416,0.011799546931155066,1,4.0,3.0,1
1,4,0.011869436201780416,0.011799546931155066,2,2.0,4.0,2
3,4,0.011869436201780416,0.011799546931155066,2,2.0,4.0,2
9,5,0.011869436201780416,0.011799546931155066,2,2.0,4.0,2
9,4,0.008902077151335312,0.00886268725784535,1,3.0,2.0,1
2,3,0.008902077151335312,0.00886268725784535,1,3.0,3.0,1
5,2,0.008902077151335312,0.00886268725784535,1,3.0,3.0,1
4,2,0.005934718100890208,0.005917177028088536,1,2.0,2.0,1
5,1,0.005934718100890208,0.005917177028088536,1,2.0,3.0,1
1,3,0.005934718100890208,0.005917177028088536,1,2.0,3.0,1
3,9,0.005934718100890208,0.005917177028088536,1,2.0,3.0,1
1,8,0.005934718100890208,0.005917177028088536,1,2.0,4.0,1
6,2,0.005934718100890208,0.005917177028088536,1,2.0,4.0,1
8,6,0.005934718100890208,0.005917177028088536,1,2.0,4.0,1
9,6,0.005934718100890208,0.005917177028088536,1,2.0,4.0,1
4,9,0.005934718100890208,0.005917177028088536,1,2.0,5.0,1
7,3,0.005934718100890208,0.005917177028088536,1,2.0,5.0,1
2,7,0.005934718100890208,0.005917177028088536,1,2.0,5.0,1
7,8,0.005934718100890208,0.005917177028088536,1,2.0,6.0,1
5,3,0.005934718100890208,0.005917177028088536,1,2.0,6.0,1
8,7,0.005934718100890208,0.005917177028088536,1,2.0,6.0,1
5,6,0.005934718100890208,0.005917177028088536,1,2.0,6.0,1
9,7,0.005934718100890208,0.005917177028088536,1,2.0,6.0,1
